"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","STREET_NAME","NEIGHBOURHOOD","full_address","lat","lon"
"4903","Mischief",2013,7,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4904","Mischief",2013,4,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4905","Other Theft",2013,2,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4906","Other Theft",2013,4,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4907","Other Theft",2013,6,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4908","Other Theft",2013,9,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4909","Other Theft",2013,12,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4910","Break and Enter Residential/Other",2013,3,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4911","Break and Enter Residential/Other",2013,7,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4912","Theft of Vehicle",2013,3,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4913","Theft from Vehicle",2013,12,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4914","Theft from Vehicle",2013,2,"1500"," W 2ND AVE","Fairview","1500  W 2ND AVE, Vancouver, BC",49.2694908,-123.1386945
"4915","Other Theft",2013,1,"1500"," W 32ND AVE","Shaughnessy","1500  W 32ND AVE, Vancouver, BC",49.2436574,-123.1391791
"4916","Theft from Vehicle",2013,5,"1500"," W 32ND AVE","Shaughnessy","1500  W 32ND AVE, Vancouver, BC",49.2436574,-123.1391791
"4917","Theft from Vehicle",2013,1,"1500"," W 32ND AVE","Shaughnessy","1500  W 32ND AVE, Vancouver, BC",49.2436574,-123.1391791
"4918","Break and Enter Residential/Other",2013,2,"1500"," W 33RD AVE","Shaughnessy","1500  W 33RD AVE, Vancouver, BC",49.2418557,-123.1393135
"4919","Theft from Vehicle",2013,4,"1500"," W 35TH AVE","Shaughnessy","1500  W 35TH AVE, Vancouver, BC",49.2399362,-123.1393638
"4920","Theft from Vehicle",2013,5,"1500"," W 36TH AVE","Shaughnessy","1500  W 36TH AVE, Vancouver, BC",49.2389561,-123.1393947
"4921","Theft from Vehicle",2013,5,"1500"," W 37TH AVE","Shaughnessy","1500  W 37TH AVE, Vancouver, BC",49.2380125,-123.1404962
"4922","Theft from Vehicle",2013,8,"1500"," W 3RD AVE","Fairview","1500  W 3RD AVE, Vancouver, BC",49.268743,-123.1382672
"4923","Theft from Vehicle",2013,4,"1500"," W 3RD AVE","Fairview","1500  W 3RD AVE, Vancouver, BC",49.268743,-123.1382672
"4924","Break and Enter Residential/Other",2013,8,"1500"," W 40TH AVE","Shaughnessy","1500  W 40TH AVE, Vancouver, BC",49.2353357,-123.1395895
"4925","Theft from Vehicle",2013,10,"1500"," W 45TH AVE","Kerrisdale","1500  W 45TH AVE, Vancouver, BC",49.2306023,-123.1396637
"4926","Break and Enter Residential/Other",2013,12,"1500"," W 54TH AVE","Kerrisdale","1500  W 54TH AVE, Vancouver, BC",49.2216862,-123.1409711
"4927","Theft of Vehicle",2013,1,"1500"," W 58TH AVE","Marpole","1500  W 58TH AVE, Vancouver, BC",49.218487,-123.1401809
"4928","Other Theft",2013,4,"1500"," W 5TH AVE","Fairview","1500  W 5TH AVE, Vancouver, BC",49.266952,-123.1401033
"4929","Theft from Vehicle",2013,2,"1500"," W 5TH AVE","Fairview","1500  W 5TH AVE, Vancouver, BC",49.266952,-123.1401033
"4930","Theft from Vehicle",2013,9,"1500"," W 62ND AVE","Marpole","1500  W 62ND AVE, Vancouver, BC",49.2149133,-123.140305
"4931","Break and Enter Residential/Other",2013,10,"1500"," W 63RD AVE","Marpole","1500  W 63RD AVE, Vancouver, BC",49.2139746,-123.1409786
"4932","Break and Enter Residential/Other",2013,9,"1500"," W 63RD AVE","Marpole","1500  W 63RD AVE, Vancouver, BC",49.2139746,-123.1409786
"4933","Theft from Vehicle",2013,3,"1500"," W 63RD AVE","Marpole","1500  W 63RD AVE, Vancouver, BC",49.2139746,-123.1409786
"4934","Mischief",2013,3,"1500"," W 64TH AVE","Marpole","1500  W 64TH AVE, Vancouver, BC",49.2131322,-123.1410148
"4935","Theft from Vehicle",2013,2,"1500"," W 64TH AVE","Marpole","1500  W 64TH AVE, Vancouver, BC",49.2131322,-123.1410148
"4936","Theft from Vehicle",2013,10,"1500"," W 64TH AVE","Marpole","1500  W 64TH AVE, Vancouver, BC",49.2131322,-123.1410148
"4937","Other Theft",2013,7,"1500"," W 65TH AVE","Marpole","1500  W 65TH AVE, Vancouver, BC",49.2122378,-123.1410543
"4938","Theft from Vehicle",2013,1,"1500"," W 65TH AVE","Marpole","1500  W 65TH AVE, Vancouver, BC",49.2122378,-123.1410543
"4939","Theft from Vehicle",2013,10,"1500"," W 65TH AVE","Marpole","1500  W 65TH AVE, Vancouver, BC",49.2122378,-123.1410543
"4940","Theft of Vehicle",2013,11,"1500"," W 66TH AVE","Marpole","1500  W 66TH AVE, Vancouver, BC",49.2113432,-123.1404332
"4941","Theft from Vehicle",2013,3,"1500"," W 66TH AVE","Marpole","1500  W 66TH AVE, Vancouver, BC",49.2113432,-123.1404332
"4942","Break and Enter Residential/Other",2013,12,"1500"," W 68TH AVE","Marpole","1500  W 68TH AVE, Vancouver, BC",49.2104924,-123.1408698
"4943","Mischief",2013,12,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4944","Other Theft",2013,3,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4945","Other Theft",2013,5,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4946","Other Theft",2013,12,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4947","Break and Enter Residential/Other",2013,1,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4948","Break and Enter Residential/Other",2013,3,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4949","Break and Enter Residential/Other",2013,8,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4950","Theft from Vehicle",2013,12,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4951","Theft from Vehicle",2013,12,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4952","Break and Enter Commercial",2013,11,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4953","Break and Enter Commercial",2013,12,"1500"," W 6TH AVE","Fairview","1500  W 6TH AVE, Vancouver, BC",49.266147,-123.1384699
"4954","Theft from Vehicle",2013,11,"1500"," W 70TH AVE","Marpole","1500  W 70TH AVE, Vancouver, BC",49.2085124,-123.1413156
"4955","Mischief",2013,11,"1500"," W 71ST AVE","Marpole","1500  W 71ST AVE, Vancouver, BC",49.2070339,-123.1405871
"4956","Mischief",2013,11,"1500"," W 71ST AVE","Marpole","1500  W 71ST AVE, Vancouver, BC",49.2070339,-123.1405871
"4957","Mischief",2013,11,"1500"," W 71ST AVE","Marpole","1500  W 71ST AVE, Vancouver, BC",49.2070339,-123.1405871
"4958","Mischief",2013,6,"1500"," W 71ST AVE","Marpole","1500  W 71ST AVE, Vancouver, BC",49.2070339,-123.1405871
"4959","Theft from Vehicle",2013,9,"1500"," W 71ST AVE","Marpole","1500  W 71ST AVE, Vancouver, BC",49.2070339,-123.1405871
"4960","Theft from Vehicle",2013,6,"1500"," W 71ST AVE","Marpole","1500  W 71ST AVE, Vancouver, BC",49.2070339,-123.1405871
"4961","Break and Enter Residential/Other",2013,9,"1500"," W 75TH AVE","Marpole","1500  W 75TH AVE, Vancouver, BC",49.204193,-123.1416066
"4962","Theft from Vehicle",2013,11,"1500"," W 75TH AVE","Marpole","1500  W 75TH AVE, Vancouver, BC",49.204193,-123.1416066
"4963","Theft from Vehicle",2013,11,"1500"," W 75TH AVE","Marpole","1500  W 75TH AVE, Vancouver, BC",49.204193,-123.1416066
"4964","Theft from Vehicle",2013,11,"1500"," W 75TH AVE","Marpole","1500  W 75TH AVE, Vancouver, BC",49.204193,-123.1416066
"4965","Break and Enter Commercial",2013,11,"1500"," W 75TH AVE","Marpole","1500  W 75TH AVE, Vancouver, BC",49.204193,-123.1416066
"4966","Other Theft",2013,11,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4967","Other Theft",2013,12,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4968","Other Theft",2013,12,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4969","Break and Enter Residential/Other",2013,11,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4970","Theft from Vehicle",2013,12,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4971","Theft from Vehicle",2013,12,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4972","Theft from Vehicle",2013,11,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4973","Break and Enter Commercial",2013,10,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4974","Break and Enter Commercial",2013,11,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4975","Break and Enter Commercial",2013,11,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4976","Break and Enter Commercial",2013,12,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4977","Break and Enter Commercial",2013,10,"1500"," W 7TH AVE","Fairview","1500  W 7TH AVE, Vancouver, BC",49.2653134,-123.1385008
"4978","Mischief",2013,8,"1500"," W 8TH AVE","Fairview","1500  W 8TH AVE, Vancouver, BC",49.2644671,-123.1385308
"4979","Mischief",2013,7,"1500"," W 8TH AVE","Fairview","1500  W 8TH AVE, Vancouver, BC",49.2644671,-123.1385308
"4980","Break and Enter Residential/Other",2013,2,"1500"," W 8TH AVE","Fairview","1500  W 8TH AVE, Vancouver, BC",49.2644671,-123.1385308
"4981","Break and Enter Commercial",2013,10,"1500"," W 8TH AVE","Fairview","1500  W 8TH AVE, Vancouver, BC",49.2644671,-123.1385308
"4982","Mischief",2013,3,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4983","Mischief",2013,2,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4984","Mischief",2013,8,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4985","Other Theft",2013,3,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4986","Other Theft",2013,2,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4987","Other Theft",2013,2,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4988","Other Theft",2013,7,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4989","Other Theft",2013,2,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4990","Other Theft",2013,5,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4991","Other Theft",2013,5,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4992","Other Theft",2013,1,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4993","Other Theft",2013,3,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4994","Other Theft",2013,6,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4995","Theft from Vehicle",2013,8,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4996","Break and Enter Commercial",2013,9,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4997","Break and Enter Commercial",2013,3,"1500"," W BROADWAY AVE","Fairview","1500  W BROADWAY AVE, Vancouver, BC",49.2635312,-123.1385639
"4998","Mischief",2013,8,"1500"," W GEORGIA ST","Central Business District","1500  W GEORGIA ST, Vancouver, BC",49.2900701,-123.1305502
"4999","Other Theft",2013,1,"1500"," W GEORGIA ST","West End","1500  W GEORGIA ST, Vancouver, BC",49.2900701,-123.1305502
"5000","Break and Enter Commercial",2013,8,"1500"," W GEORGIA ST","Central Business District","1500  W GEORGIA ST, Vancouver, BC",49.2900701,-123.1305502
"5001","Other Theft",2013,9,"1500"," W HASTINGS ST","Central Business District","1500  W HASTINGS ST, Vancouver, BC",49.2904424,-123.1284128
"5002","Theft from Vehicle",2013,12,"1500"," W HASTINGS ST","Central Business District","1500  W HASTINGS ST, Vancouver, BC",49.2904424,-123.1284128
"5003","Break and Enter Residential/Other",2013,6,"1500"," W KING EDWARD AVE","Shaughnessy","1500  W KING EDWARD AVE, Vancouver, BC",49.2492795,-123.1391012
"5004","Other Theft",2013,2,"1500"," W PENDER ST","Central Business District","1500  W PENDER ST, Vancouver, BC",49.2900117,-123.1290416
"5005","Theft from Vehicle",2013,6,"1500"," W PENDER ST","Central Business District","1500  W PENDER ST, Vancouver, BC",49.2900117,-123.1290416
"5006","Theft from Vehicle",2013,5,"1500"," WILLIAM ST","Grandview-Woodland","1500  WILLIAM ST, Vancouver, BC",49.2739587,-123.0734037
"5007","Theft from Vehicle",2013,12,"1500"," WILLIAM ST","Grandview-Woodland","1500  WILLIAM ST, Vancouver, BC",49.2739587,-123.0734037
"5008","Break and Enter Residential/Other",2013,4,"1500"," WOODLAND DR","Grandview-Woodland","1500  WOODLAND DR, Vancouver, BC",49.2714446,-123.0733924
"5009","Break and Enter Residential/Other",2013,7,"1500"," WOODLAND DR","Grandview-Woodland","1500  WOODLAND DR, Vancouver, BC",49.2714446,-123.0733924
"5010","Break and Enter Residential/Other",2013,7,"1500"," WOODLAND DR","Grandview-Woodland","1500  WOODLAND DR, Vancouver, BC",49.2714446,-123.0733924
"5011","Break and Enter Residential/Other",2013,7,"1500"," WOODLAND DR","Grandview-Woodland","1500  WOODLAND DR, Vancouver, BC",49.2714446,-123.0733924
"5012","Break and Enter Residential/Other",2013,7,"1500"," WOODLAND DR","Grandview-Woodland","1500  WOODLAND DR, Vancouver, BC",49.2714446,-123.0733924
"5013","Break and Enter Commercial",2013,2,"1500"," WOODLAND DR","Grandview-Woodland","1500  WOODLAND DR, Vancouver, BC",49.2714446,-123.0733924
"5014","Other Theft",2013,4,"1500"," YEW ST","Kitsilano","1500  YEW ST, Vancouver, BC",49.2724082,-123.1546382
"5015","Other Theft",2013,2,"1500"," YEW ST","Kitsilano","1500  YEW ST, Vancouver, BC",49.2724082,-123.1546382
"5016","Other Theft",2013,7,"1500"," YEW ST","Kitsilano","1500  YEW ST, Vancouver, BC",49.2724082,-123.1546382
"5017","Break and Enter Residential/Other",2013,4,"1600D"," BEACH AVE","West End","1600D  BEACH AVE, Vancouver, BC",49.2838466,-123.1424567
"5018","Other Theft",2013,6,"1600L"," BEACH AVE","West End","1600L  BEACH AVE, Vancouver, BC",49.2838466,-123.1424567
"5019","Other Theft",2013,7,"1600L"," BEACH AVE","West End","1600L  BEACH AVE, Vancouver, BC",49.2838466,-123.1424567
"5020","Other Theft",2013,8,"1600L"," BEACH AVE","West End","1600L  BEACH AVE, Vancouver, BC",49.2838466,-123.1424567
"5021","Theft from Vehicle",2013,7,"1600L"," BEACH AVE","West End","1600L  BEACH AVE, Vancouver, BC",49.2838466,-123.1424567
"5022","Mischief",2013,7,"1600"," ADANAC ST","Grandview-Woodland","1600  ADANAC ST, Vancouver, BC",49.2775695,-123.0727472
"5023","Break and Enter Residential/Other",2013,7,"1600"," ADANAC ST","Grandview-Woodland","1600  ADANAC ST, Vancouver, BC",49.2775695,-123.0727472
"5024","Theft of Vehicle",2013,2,"1600"," ADANAC ST","Grandview-Woodland","1600  ADANAC ST, Vancouver, BC",49.2775695,-123.0727472
"5025","Theft from Vehicle",2013,10,"1600"," ADANAC ST","Grandview-Woodland","1600  ADANAC ST, Vancouver, BC",49.2775695,-123.0727472
"5026","Theft from Vehicle",2013,4,"1600"," ADANAC ST","Grandview-Woodland","1600  ADANAC ST, Vancouver, BC",49.2775695,-123.0727472
"5027","Theft from Vehicle",2013,12,"1600"," ADANAC ST","Grandview-Woodland","1600  ADANAC ST, Vancouver, BC",49.2775695,-123.0727472
"5028","Mischief",2013,12,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5029","Other Theft",2013,3,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5030","Other Theft",2013,11,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5031","Other Theft",2013,12,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5032","Theft from Vehicle",2013,10,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5033","Theft from Vehicle",2013,3,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5034","Theft from Vehicle",2013,11,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5035","Theft from Vehicle",2013,2,"1600"," ALBERNI ST","West End","1600  ALBERNI ST, Vancouver, BC",49.2901188,-123.1312715
"5036","Theft from Vehicle",2013,11,"1600"," BALSAM ST","Kitsilano","1600  BALSAM ST, Vancouver, BC",49.2717817,-123.1596832
"5037","Theft from Vehicle",2013,11,"1600"," BALSAM ST","Kitsilano","1600  BALSAM ST, Vancouver, BC",49.2717817,-123.1596832
"5038","Mischief",2013,2,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5039","Mischief",2013,2,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5040","Mischief",2013,12,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5041","Mischief",2013,12,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5042","Other Theft",2013,6,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5043","Other Theft",2013,9,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5044","Other Theft",2013,8,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5045","Break and Enter Residential/Other",2013,2,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5046","Break and Enter Residential/Other",2013,10,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5047","Theft from Vehicle",2013,10,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5048","Theft from Vehicle",2013,10,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5049","Break and Enter Commercial",2013,5,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5050","Break and Enter Commercial",2013,6,"1600"," BARCLAY ST","West End","1600  BARCLAY ST, Vancouver, BC",49.2879975,-123.1344019
"5051","Mischief",2013,9,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5052","Other Theft",2013,10,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5053","Other Theft",2013,3,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5054","Other Theft",2013,4,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5055","Other Theft",2013,8,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5056","Other Theft",2013,2,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5057","Other Theft",2013,7,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5058","Other Theft",2013,7,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5059","Other Theft",2013,8,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5060","Other Theft",2013,10,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5061","Other Theft",2013,11,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5062","Theft of Vehicle",2013,4,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5063","Theft from Vehicle",2013,9,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5064","Theft from Vehicle",2013,7,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5065","Theft from Vehicle",2013,5,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5066","Theft from Vehicle",2013,5,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5067","Theft from Vehicle",2013,4,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5068","Theft from Vehicle",2013,4,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5069","Theft from Vehicle",2013,2,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5070","Theft from Vehicle",2013,5,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5071","Theft from Vehicle",2013,8,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5072","Theft from Vehicle",2013,5,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5073","Break and Enter Commercial",2013,10,"1600"," BAYSHORE DR","Central Business District","1600  BAYSHORE DR, Vancouver, BC",49.2913931,-123.1293367
"5074","Other Theft",2013,3,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5075","Other Theft",2013,5,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5076","Other Theft",2013,6,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5077","Other Theft",2013,6,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5078","Theft of Vehicle",2013,11,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5079","Theft of Vehicle",2013,3,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5080","Theft from Vehicle",2013,10,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5081","Theft from Vehicle",2013,7,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5082","Theft from Vehicle",2013,3,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5083","Theft from Vehicle",2013,2,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5084","Theft from Vehicle",2013,2,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5085","Theft from Vehicle",2013,1,"1600"," BEACH AVE","West End","1600  BEACH AVE, Vancouver, BC",49.2839976,-123.1419028
"5086","Mischief",2013,12,"1600"," BURNABY ST","West End","1600  BURNABY ST, Vancouver, BC",49.2844766,-123.1397704
"5087","Mischief",2013,8,"1600"," BURNABY ST","West End","1600  BURNABY ST, Vancouver, BC",49.2844766,-123.1397704
"5088","Mischief",2013,1,"1600"," BURNABY ST","West End","1600  BURNABY ST, Vancouver, BC",49.2844766,-123.1397704
"5089","Theft from Vehicle",2013,11,"1600"," BURNABY ST","West End","1600  BURNABY ST, Vancouver, BC",49.2844766,-123.1397704
"5090","Theft from Vehicle",2013,7,"1600"," BURNABY ST","West End","1600  BURNABY ST, Vancouver, BC",49.2844766,-123.1397704
"5091","Theft from Vehicle",2013,4,"1600"," CEDAR CRES","Shaughnessy","1600  CEDAR CRES, Vancouver, BC",49.256756,-123.1413007
"5092","Other Theft",2013,6,"1600"," CHARLES ST","Grandview-Woodland","1600  CHARLES ST, Vancouver, BC",49.2730443,-123.071422
"5093","Other Theft",2013,9,"1600"," CHARLES ST","Grandview-Woodland","1600  CHARLES ST, Vancouver, BC",49.2730443,-123.071422
"5094","Break and Enter Residential/Other",2013,7,"1600"," CHARLES ST","Grandview-Woodland","1600  CHARLES ST, Vancouver, BC",49.2730443,-123.071422
"5095","Theft from Vehicle",2013,8,"1600"," CHESTNUT ST","Kitsilano","1600  CHESTNUT ST, Vancouver, BC",49.2715506,-123.1463573
"5096","Theft from Vehicle",2013,9,"1600"," CLARK DR","Grandview-Woodland","1600  CLARK DR, Vancouver, BC",49.2705644,-123.0772643
"5097","Theft from Vehicle",2013,10,"1600"," COLLINGWOOD ST","Kitsilano","1600  COLLINGWOOD ST, Vancouver, BC",49.2719659,-123.181554
